Model,Accuracy,F1_score
200-16,0.7541463414634146,0.7457292259878424
200-32-16,0.791219512195122,0.7828341027565544
200-64-16,0.8136585365853658,0.8065445937960228
200-256-16,0.8492682926829268,0.8474495310417507
200-1024-16,0.8390243902439024,0.8352010577956824
200-8192-16,0.7746341463414634,0.7688474867433799
200-16384-16,0.6175609756097561,0.5714834545053672
200-32-32-16,0.6795121951219513,0.6369763230487453
200-64-64-16,0.76,0.7433445607460437
200-256-256-16,0.8429268292682927,0.8380746675943115
200-1024-1024-16,0.8404878048780487,0.8369749960435086
200-2048-2048-16,0.8,0.7904735026230568
200-8196-8196-16,0.7419512195121951,0.7337982159615578
200-16384-16384-16,0.5517073170731708,0.5210556593483919
200-64-32-16,0.7878048780487805,0.7716025514554204
200-32-64-16,0.7160975609756097,0.6891946448531043
200-256-32-16,0.8170731707317073,0.8082449414192489
200-32-256-16,0.8073170731707318,0.7995817187557771
200-2048-64-16,0.8165853658536585,0.8051977900339077
200-64-2048-16,0.8351219512195122,0.8282836875425432
200-8196-64-16,0.8121951219512196,0.8023531163002722
200-64-8196-16,0.8473170731707317,0.8429311491198969
200-32-32-32-16,0.7029268292682926,0.6557744298878937
200-64-64-64-16,0.74,0.7126000891529872
200-256-256-256-16,0.8492682926829268,0.8433708092492047
200-512-512-512-16,0.8312195121951219,0.8215046191636889
200-1024-1024-1024-16,0.8619512195121951,0.8577738361960059
200-4096-4096-4096-16,0.6775609756097561,0.6608496655825158
200-256-512-256-16,0.8273170731707317,0.8182259824046528
200-256-128-64-16,0.8126829268292682,0.7996324039004237
200-256-128-64-32-16,0.697560975609756,0.6418688827986049
200-512-64-32-32-16,0.7448780487804878,0.7177678321052221
200-512-1024-1024-512-16,0.8346341463414634,0.8286156256742727
200-32-32-32-32-16,0.6102439024390244,0.5299433322074095
200-64-64-64-64-16,0.735609756097561,0.7026647271692478
200-128-128-128-128-16,0.7990243902439025,0.7856750266618753
200-256-256-256-256-16,0.8107317073170732,0.7942357874543254
200-512-512-512-512-16,0.8375609756097561,0.8284164247312701
200-1024-1024-1024-1024-16,0.8385365853658536,0.8289824672678
200-128-128-64-64-16,0.7526829268292683,0.7263595088801169
200-256-512-256-128-16,0.8107317073170732,0.796688982619141
200-256-256-128-64-16,0.8078048780487805,0.7934678154540352
200-256-256-256-64-16,0.8082926829268293,0.7934074024057302
200-128-256-128-64-16,0.7682926829268293,0.7461683741478778
200-512-1024-1024-512-512-256-256-64-64-16,0.6429268292682927,0.5899236216469341
200-512-1024-2048-1024-512-256-128-64-32-16,0.5795121951219512,0.48472757381315845
200-4096-2048-1024-512-256-128-64-32-16,0.6765853658536586,0.6282989511619437
200-1024-1024-512-512-256-256-64-64-16,0.6882926829268292,0.6414530108400948
200-1024-512-512-256-128-128-64-64-16,0.6175609756097561,0.5445203369535536
200-512-1024-2048-2048-1024-512-256-64-16,0.7185365853658536,0.6819904133512996
