Model,Accuracy,F1_score
200-16,0.7804878048780488,0.7753053518009813
200-32-16,0.8760975609756098,0.8735670696100357
200-64-16,0.8795121951219512,0.8777921637061155
200-256-16,0.8995121951219512,0.8982346448083272
200-1024-16,0.8975609756097561,0.8977880535599166
200-8192-16,0.8663414634146341,0.8673330758448171
200-32-32-16,0.8551219512195122,0.8489504084485855
200-64-64-16,0.8804878048780488,0.8778210893222157
200-256-256-16,0.9175609756097561,0.9160559034565846
200-1024-1024-16,0.9195121951219513,0.9192236509070558
200-8196-8196-16,0.9024390243902439,0.9004359438504279
200-64-32-16,0.8931707317073171,0.8900800453685369
200-32-64-16,0.8780487804878049,0.8730719986760886
200-256-32-16,0.9097560975609756,0.907505233466701
200-32-256-16,0.8731707317073171,0.8682226014249169
200-2048-32-16,0.8960975609756098,0.8945002294868688
200-32-2048-16,0.8648780487804878,0.863863320876037
200-32-32-32-16,0.8307317073170731,0.8214892024501491
200-64-64-64-16,0.895609756097561,0.8931829010948951
200-256-256-256-16,0.9248780487804878,0.9233130016293226
200-512-512-512-16,0.926829268292683,0.9248563933225004
200-256-512-256-16,0.9175609756097561,0.9147760179190784
200-256-128-64-16,0.9131707317073171,0.9121533804153413
200-256-128-64-32-16,0.9151219512195122,0.9133826439771296
200-512-64-32-32-16,0.8980487804878049,0.8926036460248036
200-512-1024-1024-512-16,0.926829268292683,0.9253568231039646
200-32-32-32-32-16,0.806829268292683,0.7907703825537193
200-64-64-64-64-16,0.8892682926829268,0.8849708293644422
200-128-128-128-128-16,0.9078048780487805,0.9065181453152545
200-256-256-256-256-16,0.9292682926829269,0.9285457314589401
200-128-128-64-64-16,0.911219512195122,0.9087220122488954
200-256-512-256-128-16,0.9229268292682927,0.9225174508418289
200-256-256-128-64-16,0.9253658536585366,0.9239172598065222
200-256-256-256-64-16,0.9214634146341464,0.9196005585408507
200-128-256-128-64-16,0.9136585365853659,0.9121162144502929
200-512-512-512-512-16,0.9380487804878048,0.9373851862305124
200-1024-1024-1024-1024-16,0.922439024390244,0.921129588691947
200-2048-2048-2048-2048-16,0.9346341463414635,0.9344570961562552
200-4096-4096-4096-4096-16,0.9190243902439025,0.9168530035777066
200-1024-2048-2048-1024-16,0.9287804878048781,0.927668012833249
200-1024-2048-1024-512-16,0.9360975609756098,0.9360321878635668
200-1024-1024-512-512-16,0.9395121951219512,0.9390785884457568
200-1024-512-256-128-16,0.9234146341463415,0.922509303530083
200-1024-1024-512-256-16,0.9253658536585366,0.924787027525869
200-512-512-512-512-512-16,0.9234146341463415,0.9225284051904334
200-1024-1024-1024-1024-1024-16,0.9273170731707318,0.9266849357068221
200-2048-2048-2048-2048-2048-16,0.9380487804878048,0.9374499441431997
200-4096-4096-4096-4096-4096-16,0.9297560975609757,0.9295210052021506
200-4096-2048-1024-512-256-16,0.9370731707317074,0.9367159399736616
200-4096-2048-2048-1024-512-16,0.9326829268292683,0.9315637063662573
200-4096-4096-1024-512-256-16,0.9180487804878049,0.9168603611116737
200-4096-4096-4096-4096-1024-16,0.9263414634146342,0.9254613365985015
200-4096-4096-4096-2048-1024-16,0.9302439024390244,0.9301942643385795
200-4096-4096-4096-2048-512-16,0.915609756097561,0.9147371161265243
200-4096-4096-4096-4096-4096-1024-16,0.9151219512195122,0.9136354115922778
200-4096-4096-4096-4096-2048-1024-16,0.9180487804878049,0.918790248675595
200-4096-8192-4096-2048-2048-512-16,0.9258536585365854,0.9250845916785068
200-8192-8192-4096-2048-512-512-16,0.9365853658536586,0.9364898334975167
200-2048-4096-8192-8192-4096-2048-1024-512-128-16,0.9282926829268293,0.9281946826729903
200-2048-4096-8192-4096-1024-512-128-16,0.9263414634146342,0.9250270943858041
200-2048-4096-4096-2048-2048-1024-1024-512-512-256-256-16,0.9234146341463415,0.9219820264245069
200-4096-8192-8192-2048-1024-256-128-64-16,0.9297560975609757,0.9289961375718132
200-8192-8192-2048-512-128-64-16,0.9273170731707318,0.9268701405129115
200-8192-8192-2048-512-256-32-16,0.9214634146341464,0.9200154647410062
