Model,Accuracy,F1_score
200-16,0.7760975609756098,0.7713172674392005
200-32-16,0.8663414634146341,0.864146744191054
200-64-16,0.8790243902439024,0.8789439283215074
200-256-16,0.8980487804878049,0.8954005851371045
200-1024-16,0.9131707317073172,0.9129286816443254
200-8192-16,0.915609756097561,0.9152878616409432
200-32-32-16,0.8824390243902439,0.8810310174429322
200-64-64-16,0.9048780487804878,0.9036349567294284
200-256-256-16,0.9219512195121952,0.9215373809515396
200-1024-1024-16,0.9019512195121951,0.9025828502397966
200-8196-8196-16,0.9292682926829268,0.928967302188
200-64-32-16,0.8960975609756098,0.8943956875975045
200-32-64-16,0.9019512195121951,0.9010795187432143
200-256-32-16,0.8990243902439025,0.8975307152822197
200-32-256-16,0.8975609756097561,0.8963060267151095
200-2048-32-16,0.8902439024390244,0.8888498944262311
200-32-2048-16,0.9360975609756098,0.9358540651862156
200-32-32-32-16,0.8868292682926829,0.8855735635587895
200-64-64-64-16,0.9126829268292684,0.9122601353165816
200-256-256-256-16,0.9209756097560976,0.9208613899615784
200-512-512-512-16,0.9321951219512196,0.9312305976686144
200-256-512-256-16,0.928780487804878,0.9274128306869752
200-256-128-64-16,0.9209756097560976,0.9203354718302502
200-256-128-64-32-16,0.8639024390243902,0.8636272359633256
200-512-64-32-32-16,0.911219512195122,0.9098136428938788
200-512-1024-1024-512-16,0.904390243902439,0.9020938855345104
200-32-32-32-32-16,0.88,0.8782422976679984
200-64-64-64-64-16,0.9053658536585366,0.9046661438878608
200-128-128-128-128-16,0.9190243902439024,0.9184740092107612
200-256-256-256-256-16,0.9082926829268292,0.9073990416915902
200-128-128-64-64-16,0.9117073170731708,0.911469904142807
200-256-512-256-128-16,0.9185365853658536,0.918730631850566
200-256-256-128-64-16,0.922439024390244,0.92085791025922
200-256-256-256-64-16,0.9151219512195122,0.915025245336406
200-128-256-128-64-16,0.913658536585366,0.9137585748427992
200-512-512-512-512-16,0.9263414634146342,0.9255625205607968
200-1024-1024-1024-1024-16,0.9034146341463416,0.9020376377587708
200-2048-2048-2048-2048-16,0.9170731707317074,0.9165906421708782
200-4096-4096-4096-4096-16,0.9282926829268292,0.9280812639818264
200-1024-2048-2048-1024-16,0.9180487804878048,0.9182444153396548
200-1024-2048-1024-512-16,0.9097560975609756,0.9080367819227552
200-1024-1024-512-512-16,0.931219512195122,0.9310707436050804
200-1024-512-256-128-16,0.9180487804878048,0.9168081302236786
200-1024-1024-512-256-16,0.9209756097560976,0.9204735108208312
200-512-512-512-512-512-16,0.902439024390244,0.9012118337479056
200-1024-1024-1024-1024-1024-16,0.9239024390243904,0.923247248091464
200-2048-2048-2048-2048-2048-16,0.9019512195121951,0.9012078024297276
200-4096-4096-4096-4096-4096-16,0.9195121951219511,0.9182912411925804
200-4096-2048-1024-512-256-16,0.9146341463414634,0.9133210035093408
200-4096-2048-2048-1024-512-16,0.915609756097561,0.915380716465752
200-4096-4096-1024-512-256-16,0.9214634146341464,0.9207608991360846
200-4096-4096-4096-4096-1024-16,0.8990243902439025,0.8974218077138351
200-4096-4096-4096-2048-1024-16,0.9146341463414634,0.9143170823993252
200-4096-4096-4096-2048-512-16,0.9214634146341464,0.9208027364249708
200-4096-4096-4096-4096-4096-1024-16,0.9053658536585366,0.9060099079497028
200-4096-4096-4096-4096-2048-1024-16,0.9102439024390244,0.9088600097504388
200-4096-8192-4096-2048-2048-512-16,0.9258536585365854,0.925009731748327
200-8192-8192-4096-2048-512-512-16,0.9151219512195122,0.9139058579477408
200-2048-4096-8192-8192-4096-2048-1024-512-128-16,0.8990243902439025,0.8938592216149137
200-2048-4096-8192-4096-1024-512-128-16,0.8995121951219512,0.897959507765692
200-2048-4096-4096-2048-2048-1024-1024-512-512-256-256-16,0.9102439024390244,0.9089120762118407
200-4096-8192-8192-2048-1024-256-128-64-16,0.9087804878048781,0.908124244424859
200-8192-8192-2048-512-128-64-16,0.8717073170731707,0.8704557726974365
200-8192-8192-2048-512-256-32-16,0.915609756097561,0.9151158115608908
