Model,Accuracy,F1_score
200-16,0.748780487804878,0.7404014999005852
200-32-16,0.828780487804878,0.8255143108027122
200-64-16,0.8414634146341463,0.8386270268974867
200-256-16,0.8804878048780488,0.8786405132943502
200-1024-16,0.8853658536585366,0.8837863459377453
200-8192-16,0.875609756097561,0.8737161471485483
200-32-32-16,0.8492682926829268,0.8469828562515747
200-64-64-16,0.884390243902439,0.88289116212262
200-256-256-16,0.8917073170731707,0.8904033308557684
200-1024-1024-16,0.8892682926829268,0.887501115123153
200-8196-8196-16,0.8990243902439025,0.8973480727675985
200-64-32-16,0.8751219512195122,0.8730668922863846
200-32-64-16,0.8668292682926829,0.8655505525912666
200-256-32-16,0.8268292682926829,0.8285819832548035
200-32-256-16,0.8926829268292683,0.8908668665438149
200-2048-32-16,0.8619512195121951,0.8596367548415494
200-32-2048-16,0.8921951219512195,0.8901758866690352
200-32-32-32-16,0.8609756097560975,0.8603550777847631
200-64-64-64-16,0.8917073170731707,0.8903623329071452
200-256-256-256-16,0.7824390243902439,0.7820874230625691
200-512-512-512-16,0.8848780487804878,0.8836520457921164
200-256-512-256-16,0.904390243902439,0.9027704857037557
200-256-128-64-16,0.8473170731707317,0.8427828626218995
200-256-128-64-32-16,0.8790243902439024,0.877462245682365
200-512-64-32-32-16,0.8590243902439024,0.8586761021458063
200-512-1024-1024-512-16,0.8887804878048781,0.8888213477502497
200-32-32-32-32-16,0.8375609756097561,0.835764293520608
200-64-64-64-64-16,0.8746341463414634,0.8724584817094424
200-128-128-128-128-16,0.8668292682926829,0.8657066610641319
200-256-256-256-256-16,0.8580487804878049,0.8568004212987679
200-128-128-64-64-16,0.8546341463414634,0.8505585836834934
200-256-512-256-128-16,0.8565853658536585,0.8542839169369171
200-256-256-128-64-16,0.8692682926829268,0.8677092153327459
200-256-256-256-64-16,0.855609756097561,0.8549102360121092
200-128-256-128-64-16,0.8917073170731707,0.8901413459562798
