Model,Accuracy,F1_score
200-16,0.7492682926829268,0.7393954548300689
200-32-16,0.8429268292682927,0.840695685464897
200-64-16,0.8565853658536585,0.8545697834398949
200-256-16,0.8995121951219512,0.8987436952979486
200-1024-16,0.8970731707317073,0.8950246733446695
200-8192-16,0.8858536585365854,0.8862108590940754
200-32-32-16,0.8185365853658536,0.819399515735365
200-64-64-16,0.8770731707317073,0.876436886632745
200-256-256-16,0.9117073170731708,0.9107655467530916
200-1024-1024-16,0.9165853658536586,0.9166284628404573
200-8196-8196-16,0.8770731707317073,0.8747240220489471
200-64-32-16,0.8707317073170732,0.8690856483258393
200-32-64-16,0.8790243902439024,0.8772263643700435
200-256-32-16,0.8970731707317073,0.8966145756554807
200-32-256-16,0.904390243902439,0.9032852143949041
200-2048-32-16,0.8580487804878049,0.8566166596418552
200-32-2048-16,0.8985365853658537,0.8973333810265048
200-32-32-32-16,0.8658536585365854,0.8639768378830105
200-64-64-64-16,0.8721951219512195,0.8725548500502641
200-256-256-256-16,0.9195121951219513,0.9188524246953197
200-512-512-512-16,0.8234146341463414,0.8234738769628341
200-256-512-256-16,0.9078048780487805,0.9073767429658446
200-256-128-64-16,0.9092682926829269,0.9078499914257886
200-256-128-64-32-16,0.9039024390243903,0.9027214420248473
200-512-64-32-32-16,0.891219512195122,0.8915192951524269
200-512-1024-1024-512-16,0.9180487804878049,0.9173705370297406
200-32-32-32-32-16,0.8551219512195122,0.8519350333854937
200-64-64-64-64-16,0.8970731707317073,0.8953739260167126
200-128-128-128-128-16,0.9087804878048781,0.9087305835843219
200-256-256-256-256-16,0.9165853658536586,0.915106531230642
200-128-128-64-64-16,0.875609756097561,0.8766190284442806
200-256-512-256-128-16,0.9121951219512195,0.9107679337223851
200-256-256-128-64-16,0.8882926829268293,0.8876501015013282
200-256-256-256-64-16,0.8960975609756098,0.8955338523472189
200-128-256-128-64-16,0.8926829268292683,0.8918670317713719
