Model,Accuracy,F1_score
200-1024-1024-16,0.8185365853658536,0.815997319221056
200-1024-16,0.813170731707317,0.8089974407496021
200-128-128-128-128-16,0.7824390243902439,0.7696301733820832
200-128-128-64-64-16,0.744390243902439,0.7257677748731546
200-128-256-128-64-16,0.7346341463414634,0.7193792652160604
200-16,0.6414634146341464,0.6052783084513073
200-2048-32-16,0.8219512195121951,0.8194552751160077
200-256-128-64-16,0.8117073170731708,0.8054219520020605
200-256-128-64-32-16,0.7634146341463415,0.7502651153234527
200-256-16,0.7770731707317073,0.7647173608219676
200-256-256-128-64-16,0.7687804878048781,0.755722490001828
200-256-256-16,0.8141463414634146,0.8081961060676557
200-256-256-256-16,0.8302439024390244,0.8291030442463283
200-256-256-256-256-16,0.8365853658536585,0.8346546241071459
200-256-256-256-64-16,0.7931707317073171,0.7833612970875666
200-256-32-16,0.7902439024390244,0.7858051755960691
200-256-512-256-128-16,0.7902439024390244,0.7804740144068562
200-256-512-256-16,0.8170731707317073,0.8187772262707346
200-32-16,0.6809756097560976,0.6622487937808472
200-32-2048-16,0.8385365853658536,0.8343815743975092
200-32-256-16,0.7536585365853659,0.7378881456945607
200-32-32-16,0.6570731707317073,0.6186340820525086
200-32-32-32-16,0.6873170731707318,0.6584634364525641
200-32-32-32-32-16,0.6634146341463415,0.6266516598902305
200-32-64-16,0.7112195121951219,0.6889021860418797
200-512-1024-1024-512-16,0.8317073170731707,0.828108001068089
200-512-512-512-16,0.8478048780487805,0.8467683524896203
200-512-64-32-32-16,0.7639024390243903,0.7534345654981512
200-64-16,0.7034146341463414,0.6858223942584917
200-64-32-16,0.7297560975609756,0.7216021395753792
200-64-64-16,0.7521951219512195,0.7455888042661569
200-64-64-64-16,0.7448780487804878,0.7366506356231188
200-64-64-64-64-16,0.7536585365853659,0.7385414644003302
200-8192-16,0.8463414634146341,0.8463679548295531
200-8196-8196-16,0.853170731707317,0.8511911823050573
