Model,Accuracy,F1_score
200-16,0.76,0.7529648096064346
200-16-16,0.7951219512195122,0.789258634793192
200-64-16,0.8604878048780488,0.8579563479098048
200-128-16,0.8765853658536585,0.8743814195090309
200-256-16,0.8892682926829268,0.8882236264355903
200-512-16,0.8946341463414634,0.893574522421154
200-1024-16,0.9004878048780488,0.9002432308773046
200-2048-16,0.8985365853658537,0.8971794714831562
200-4096-16,0.8648780487804878,0.8541069562474046
200-8192-16,0.9014634146341464,0.9001932555067735
200-32-32-16,0.8580487804878049,0.8559530945947591
200-64-64-16,0.8882926829268293,0.8867296225296402
200-256-256-16,0.8897560975609756,0.8876627614659421
200-512-512-16,0.9229268292682927,0.9228995910863965
200-1024-1024-16,0.868780487804878,0.8699979611434321
200-4096-4096-16,0.9209756097560976,0.9207574056790946
200-64-32-16,0.875609756097561,0.8731472967291198
200-32-64-16,0.8780487804878049,0.8771649936367004
200-256-64-16,0.9014634146341464,0.9015067892537932
200-64-256-16,0.8878048780487805,0.886823515853876
200-512-128-16,0.9078048780487805,0.9078221902793415
200-128-512-16,0.9185365853658537,0.9180940972078181
200-1024-512-16,0.9234146341463415,0.9229231238653856
200-512-1024-16,0.9146341463414634,0.9132942290555569
200-512-32-16,0.8931707317073171,0.893819792120304
200-32-512-16,0.904390243902439,0.9037034592261542
200-128-128-128-16,0.868780487804878,0.865414342414102
200-256-256-256-16,0.9195121951219513,0.9187265335992719
200-512-512-512-16,0.9248780487804878,0.9239511291354666
200-1024-1024-1024-16,0.9082926829268293,0.9089984104760295
200-128-256-128-16,0.9092682926829269,0.9082422543071124
200-256-512-256-16,0.9117073170731708,0.9118378066348992
200-512-512-256-16,0.9082926829268293,0.9061526819575239
200-512-1024-256-16,0.9151219512195122,0.91525952139706
200-1054-256-64-16,0.8960975609756098,0.894787328445347
200-256-128-64-16,0.9063414634146342,0.9061345364331342
200-512-256-128-16,0.9131707317073171,0.9122104414913307
200-1024-1024-256-16,0.9126829268292683,0.9117810614439424
200-1024-512-128-16,0.9063414634146342,0.905376639727255
200-256-256-256-256-16,0.9019512195121951,0.9016148369108717
200-512-512-512-512-16,0.848780487804878,0.8445682135047918
200-1024-1024-1024-1024-16,0.9204878048780488,0.9198576678655294
200-256-512-512-256-16,0.9078048780487805,0.9071368453974284
200-256-512-256-128-16,0.9082926829268293,0.9065957699477587
200-512-512-256-64-16,0.9175609756097561,0.9176184469619764
200-512-256-128-64-16,0.9019512195121951,0.8996203458632079
200-1024-512-256-64-16,0.9014634146341464,0.9002699221824885
200-64-256-512-1024-16,0.8570731707317073,0.8588512140351521
200-256-256-256-256-256-16,0.9121951219512195,0.9113709825766311
200-512-512-512-512-512-16,0.9253658536585366,0.9250392314353955
200-512-512-256-128-64-16,0.9009756097560976,0.9003804919628342
200-512-1024-512-256-64-16,0.9078048780487805,0.9069794315157673
200-1024-512-512-128-128-16,0.8868292682926829,0.8888579756779321
200-256-256-256-256-256-256-16,0.8819512195121951,0.8818290587716628
200-512-1024-1024-512-256-64-16,0.8814634146341463,0.8822592748386742
200-64-64-64-64-64-64-64-64-16,0.8507317073170731,0.8474188088175403
200-256-256-256-256-256-256-256-256-16,0.8595121951219512,0.85368978515977
200-512-512-512-512-512-512-512-512-16,0.8873170731707317,0.8871371129771821
200-512-512-256-256-128-128-64-64-16,0.891219512195122,0.8901672008433829
200-256-512-512-256-256-128-64-32-16,0.8917073170731707,0.8911734940352656
