Model,Accuracy,F1_score
200-16,0.764390243902439,0.7570563261152319
200-32-16,0.8102439024390244,0.8037283648277886
200-64-16,0.8404878048780487,0.8376974074741129
200-256-16,0.884390243902439,0.8831572580682271
200-1024-16,0.8882926829268293,0.8870697283229931
200-8192-16,0.8926829268292683,0.8914971607857403
200-32-32-16,0.7951219512195122,0.7843175895109018
200-64-64-16,0.8463414634146341,0.843077209509586
200-256-256-16,0.9009756097560976,0.8999805705118008
200-1024-1024-16,0.911219512195122,0.9103866053857305
200-8196-8196-16,0.8834146341463415,0.8802220229640048
200-64-32-16,0.8229268292682926,0.81669228962454
200-32-64-16,0.8282926829268292,0.822277296030353
200-256-32-16,0.871219512195122,0.8672004983464958
200-32-256-16,0.8595121951219512,0.8573994810743293
200-2048-32-16,0.884390243902439,0.8827334856691474
200-32-2048-16,0.8702439024390244,0.8705145449574992
200-32-32-32-16,0.7726829268292683,0.7588332155931539
200-64-64-64-16,0.8463414634146341,0.8409026523877856
200-256-256-256-16,0.9131707317073171,0.9122626130743652
200-512-512-512-16,0.9258536585365854,0.9253316622854622
200-256-512-256-16,0.8907317073170732,0.8877733984943018
200-256-128-64-16,0.8951219512195122,0.8936148473350073
200-256-128-64-32-16,0.8648780487804878,0.8585425302619122
200-512-64-32-32-16,0.8268292682926829,0.8203130269460832
200-512-1024-1024-512-16,0.8926829268292683,0.8917248004760994
200-32-32-32-32-16,0.6653658536585366,0.6018714345898284
200-64-64-64-64-16,0.8375609756097561,0.8276460294890431
200-128-128-128-128-16,0.8707317073170732,0.868867033137139
200-256-256-256-256-16,0.8897560975609756,0.8876331376650306
200-128-128-64-64-16,0.8560975609756097,0.8494988727487907
200-256-512-256-128-16,0.9151219512195122,0.9143597450235267
200-256-256-128-64-16,0.8751219512195122,0.8718511238427715
200-256-256-256-64-16,0.88,0.8769738994606009
200-128-256-128-64-16,0.8717073170731707,0.868484601744759
