Model,Accuracy,F1_score
0.3_0.0001_True__200-16,0.7853658536585366,0.7800772604134543
0.3_0.0001_True__200-512-512-16,0.891219512195122,0.8890728808849712
0_0.0001_True__200-512-512-16,0.913658536585366,0.9129556659357392
0_0.001_True__200-512-512-16,0.891219512195122,0.8879274729700788
lr_0.0001__0.3_0.0001_True__200-512-512-16,0.9019512195121951,0.9002176276554663
lr_1e-05__0.3_0.0001_True__200-512-512-16,0.7921951219512195,0.7816570879755549
lr_1e-05__0.3_0.0001_True__200-16,0.4756097560975609,0.3636575365138722
lr_1e-05__0.3_0.0001_True__200-256-512-1024-2048-16,0.7648780487804878,0.7530703939736718
lr_1e-05__0.3_0.0001_True__200-256-128-64-16,0.6565853658536586,0.5989772438292077
lr_1e-05__0.3_0.0001_True__200-1024-256-64-16,0.7351219512195122,0.7096740217560885
lr_1e-05__0.3_0.0001_True__200-256-256-128-128-128-64-64-64-32-32-16,0.1404878048780488,0.074879175748217
lr_1e-05__0.3_0.0001_True__200-256-512-1024-512-256-128-64-16,0.5307317073170732,0.4394588062474069
