Mode,Model,Accuracy,F1_score
batch_1024,200-1024-1024-16,0.8185365853658536,0.815997319221056
batch_1024,200-1024-16,0.813170731707317,0.8089974407496021
batch_1024,200-128-128-128-128-16,0.7824390243902439,0.7696301733820832
batch_1024,200-128-128-64-64-16,0.744390243902439,0.7257677748731546
batch_1024,200-128-256-128-64-16,0.7346341463414634,0.7193792652160604
batch_1024,200-16,0.6414634146341464,0.6052783084513073
batch_1024,200-2048-32-16,0.8219512195121951,0.8194552751160077
batch_1024,200-256-128-64-16,0.8117073170731708,0.8054219520020605
batch_1024,200-256-128-64-32-16,0.7634146341463415,0.7502651153234527
batch_1024,200-256-16,0.7770731707317073,0.7647173608219676
batch_1024,200-256-256-128-64-16,0.7687804878048781,0.755722490001828
batch_1024,200-256-256-16,0.8141463414634146,0.8081961060676557
batch_1024,200-256-256-256-16,0.8302439024390244,0.8291030442463283
batch_1024,200-256-256-256-256-16,0.8365853658536585,0.8346546241071459
batch_1024,200-256-256-256-64-16,0.7931707317073171,0.7833612970875666
batch_1024,200-256-32-16,0.7902439024390244,0.7858051755960691
batch_1024,200-256-512-256-128-16,0.7902439024390244,0.7804740144068562
batch_1024,200-256-512-256-16,0.8170731707317073,0.8187772262707346
batch_1024,200-32-16,0.6809756097560976,0.6622487937808472
batch_1024,200-32-2048-16,0.8385365853658536,0.8343815743975092
batch_1024,200-32-256-16,0.7536585365853659,0.7378881456945607
batch_1024,200-32-32-16,0.6570731707317073,0.6186340820525086
batch_1024,200-32-32-32-16,0.6873170731707318,0.6584634364525641
batch_1024,200-32-32-32-32-16,0.6634146341463415,0.6266516598902305
batch_1024,200-32-64-16,0.7112195121951219,0.6889021860418797
batch_1024,200-512-1024-1024-512-16,0.8317073170731707,0.828108001068089
batch_1024,200-512-512-512-16,0.8478048780487805,0.8467683524896203
batch_1024,200-512-64-32-32-16,0.7639024390243903,0.7534345654981512
batch_1024,200-64-16,0.7034146341463414,0.6858223942584917
batch_1024,200-64-32-16,0.7297560975609756,0.7216021395753792
batch_1024,200-64-64-16,0.7521951219512195,0.7455888042661569
batch_1024,200-64-64-64-16,0.7448780487804878,0.7366506356231188
batch_1024,200-64-64-64-64-16,0.7536585365853659,0.7385414644003302
batch_1024,200-8192-16,0.8463414634146341,0.8463679548295531
batch_1024,200-8196-8196-16,0.853170731707317,0.8511911823050573
default,200-16,0.76,0.7529648096064346
default,200-16-16,0.7951219512195122,0.789258634793192
default,200-64-16,0.8604878048780488,0.8579563479098048
default,200-128-16,0.8765853658536585,0.8743814195090309
default,200-256-16,0.8892682926829268,0.8882236264355903
default,200-512-16,0.8946341463414634,0.893574522421154
default,200-1024-16,0.9004878048780488,0.9002432308773046
default,200-2048-16,0.8985365853658537,0.8971794714831562
default,200-4096-16,0.8648780487804878,0.8541069562474046
default,200-8192-16,0.9014634146341464,0.9001932555067735
default,200-32-32-16,0.8580487804878049,0.8559530945947591
default,200-64-64-16,0.8882926829268293,0.8867296225296402
default,200-256-256-16,0.8897560975609756,0.8876627614659421
default,200-512-512-16,0.9229268292682928,0.9228995910863964
default,200-1024-1024-16,0.868780487804878,0.8699979611434321
default,200-4096-4096-16,0.9209756097560976,0.9207574056790946
default,200-64-32-16,0.875609756097561,0.8731472967291198
default,200-32-64-16,0.8780487804878049,0.8771649936367004
default,200-256-64-16,0.9014634146341464,0.9015067892537932
default,200-64-256-16,0.8878048780487805,0.886823515853876
default,200-512-128-16,0.9078048780487804,0.9078221902793416
default,200-128-512-16,0.9185365853658536,0.918094097207818
default,200-1024-512-16,0.9234146341463416,0.9229231238653856
default,200-512-1024-16,0.9146341463414634,0.9132942290555568
default,200-512-32-16,0.8931707317073171,0.893819792120304
default,200-32-512-16,0.904390243902439,0.9037034592261542
default,200-128-128-128-16,0.868780487804878,0.865414342414102
default,200-256-256-256-16,0.9195121951219511,0.918726533599272
default,200-512-512-512-16,0.9248780487804878,0.9239511291354666
default,200-1024-1024-1024-16,0.9082926829268292,0.9089984104760296
default,200-128-256-128-16,0.9092682926829267,0.9082422543071124
default,200-256-512-256-16,0.9117073170731708,0.9118378066348992
default,200-512-512-256-16,0.9082926829268292,0.906152681957524
default,200-512-1024-256-16,0.9151219512195122,0.91525952139706
default,200-1054-256-64-16,0.8960975609756098,0.894787328445347
default,200-256-128-64-16,0.9063414634146342,0.9061345364331342
default,200-512-256-128-16,0.9131707317073172,0.9122104414913308
default,200-1024-1024-256-16,0.9126829268292684,0.9117810614439424
default,200-1024-512-128-16,0.9063414634146342,0.905376639727255
default,200-256-256-256-256-16,0.9019512195121951,0.9016148369108716
default,200-512-512-512-512-16,0.848780487804878,0.8445682135047918
default,200-1024-1024-1024-1024-16,0.9204878048780488,0.9198576678655294
default,200-256-512-512-256-16,0.9078048780487804,0.9071368453974284
default,200-256-512-256-128-16,0.9082926829268292,0.9065957699477588
default,200-512-512-256-64-16,0.917560975609756,0.9176184469619764
default,200-512-256-128-64-16,0.9019512195121951,0.8996203458632079
default,200-1024-512-256-64-16,0.9014634146341464,0.9002699221824885
default,200-64-256-512-1024-16,0.8570731707317073,0.8588512140351521
default,200-256-256-256-256-256-16,0.9121951219512195,0.9113709825766312
default,200-512-512-512-512-512-16,0.9253658536585366,0.9250392314353956
default,200-512-512-256-128-64-16,0.9009756097560976,0.9003804919628342
default,200-512-1024-512-256-64-16,0.9078048780487804,0.9069794315157672
default,200-1024-512-512-128-128-16,0.8868292682926829,0.8888579756779321
default,200-256-256-256-256-256-256-16,0.8819512195121951,0.8818290587716628
default,200-512-1024-1024-512-256-64-16,0.8814634146341463,0.8822592748386742
default,200-64-64-64-64-64-64-64-64-16,0.8507317073170731,0.8474188088175403
default,200-256-256-256-256-256-256-256-256-16,0.8595121951219512,0.85368978515977
default,200-512-512-512-512-512-512-512-512-16,0.8873170731707317,0.8871371129771821
default,200-512-512-256-256-128-128-64-64-16,0.891219512195122,0.8901672008433829
default,200-256-512-512-256-256-128-64-32-16,0.8917073170731707,0.8911734940352656
dropout,200-16,0.764390243902439,0.7570563261152319
dropout,200-32-16,0.8102439024390244,0.8037283648277886
dropout,200-64-16,0.8404878048780487,0.8376974074741129
dropout,200-256-16,0.884390243902439,0.8831572580682271
dropout,200-1024-16,0.8882926829268293,0.8870697283229931
dropout,200-8192-16,0.8926829268292683,0.8914971607857403
dropout,200-32-32-16,0.7951219512195122,0.7843175895109018
dropout,200-64-64-16,0.8463414634146341,0.843077209509586
dropout,200-256-256-16,0.9009756097560976,0.8999805705118008
dropout,200-1024-1024-16,0.911219512195122,0.9103866053857304
dropout,200-8196-8196-16,0.8834146341463415,0.8802220229640048
dropout,200-64-32-16,0.8229268292682926,0.81669228962454
dropout,200-32-64-16,0.8282926829268292,0.822277296030353
dropout,200-256-32-16,0.871219512195122,0.8672004983464958
dropout,200-32-256-16,0.8595121951219512,0.8573994810743293
dropout,200-2048-32-16,0.884390243902439,0.8827334856691474
dropout,200-32-2048-16,0.8702439024390244,0.8705145449574992
dropout,200-32-32-32-16,0.7726829268292683,0.7588332155931539
dropout,200-64-64-64-16,0.8463414634146341,0.8409026523877856
dropout,200-256-256-256-16,0.9131707317073172,0.9122626130743652
dropout,200-512-512-512-16,0.9258536585365854,0.9253316622854622
dropout,200-256-512-256-16,0.8907317073170732,0.8877733984943018
dropout,200-256-128-64-16,0.8951219512195122,0.8936148473350073
dropout,200-256-128-64-32-16,0.8648780487804878,0.8585425302619122
dropout,200-512-64-32-32-16,0.8268292682926829,0.8203130269460832
dropout,200-512-1024-1024-512-16,0.8926829268292683,0.8917248004760994
dropout,200-32-32-32-32-16,0.6653658536585366,0.6018714345898284
dropout,200-64-64-64-64-16,0.8375609756097561,0.8276460294890431
dropout,200-128-128-128-128-16,0.8707317073170732,0.868867033137139
dropout,200-256-256-256-256-16,0.8897560975609756,0.8876331376650306
dropout,200-128-128-64-64-16,0.8560975609756097,0.8494988727487907
dropout,200-256-512-256-128-16,0.9151219512195122,0.9143597450235268
dropout,200-256-256-128-64-16,0.8751219512195122,0.8718511238427715
dropout,200-256-256-256-64-16,0.88,0.8769738994606009
dropout,200-128-256-128-64-16,0.8717073170731707,0.868484601744759
Elastic_net,200-16,0.7546341463414634,0.7456192895936469
Elastic_net,200-32-16,0.8278048780487804,0.8240706476699069
