Model,Accuracy,F1-score
SVM_basic,0.8039024390243903,0.7920707141610376
SVM_linear,0.8658536585365854,0.8643600891882621
SVM_poly,0.7097560975609756,0.6840154323546342
SVM_sigmoid,0.3824390243902439,0.3267513401834723
SVM_c_0.1,0.5648780487804878,0.4845343232035441
SVM_c_10,0.8921951219512195,0.8908865664599595
SVM_c_100,0.9141463414634148,0.913555923630724
SVM_c_1000,0.9053658536585366,0.90520637779781
SVM_c_500,0.9048780487804878,0.9046825394384704
SVM_c_200,0.9092682926829267,0.9088539894101656
SVM_c_150,0.913658536585366,0.9131652210336402
SVM_c_50,0.9107317073170732,0.9099258455578986
SVM_gamma_auto,0.8039024390243903,0.7919920492492988
SVM_dfs_ovo,0.8039024390243903,0.7920707141610376
